 	slice	peaks
1014	1014	3813
1015	1015	3811
1016	1016	3811
1017	1017	3793
1018	1018	3787
1019	1019	3777
1020	1020	3768
1021	1021	3759
1022	1022	3756
1023	1023	3754
1024	1024	3749
1025	1025	3734
1026	1026	3723
1027	1027	3713
1028	1028	3703
1029	1029	3700
1030	1030	3695
1031	1031	3683
1032	1032	3686
1033	1033	3672
1034	1034	3668
1035	1035	3659
1036	1036	3660
1037	1037	3645
1038	1038	3641
1039	1039	3631
1040	1040	3625
1041	1041	3618
1042	1042	3616
1043	1043	3609
1044	1044	3623
1045	1045	3613
1046	1046	3587
1047	1047	3579
1048	1048	3593
1049	1049	3586
1050	1050	3582
1051	1051	3563
1052	1052	3557
1053	1053	3560
1054	1054	3552
1055	1055	3553
1056	1056	3543
1057	1057	3544
1058	1058	3538
1059	1059	3525
1060	1060	3519
1061	1061	3518
1062	1062	3514
1063	1063	3505
1064	1064	3504
1065	1065	3495
1066	1066	3487
1067	1067	3479
1068	1068	3482
1069	1069	3472
1070	1070	3460
1071	1071	3455
1072	1072	3448
1073	1073	3445
1074	1074	3438
1075	1075	3431
1076	1076	3431
1077	1077	3426
1078	1078	3420
1079	1079	3417
1080	1080	3412
1081	1081	3399
1082	1082	3387
1083	1083	3376
1084	1084	3377
1085	1085	3371
1086	1086	3360
1087	1087	3357
1088	1088	3355
1089	1089	3349
1090	1090	3342
1091	1091	3337
1092	1092	3328
1093	1093	3321
1094	1094	3320
1095	1095	3316
1096	1096	3306
1097	1097	3308
1098	1098	3300
1099	1099	3293
1100	1100	3289
1101	1101	3285
1102	1102	3280
1103	1103	3270
1104	1104	3267
1105	1105	3262
1106	1106	3256
1107	1107	3255
1108	1108	3256
1109	1109	3241
1110	1110	3239
1111	1111	3236
1112	1112	3226
1113	1113	3226
1114	1114	3219
1115	1115	3211
1116	1116	3205
1117	1117	3197
1118	1118	3197
1119	1119	3198
1120	1120	3189
1121	1121	3183
1122	1122	3179
1123	1123	3171
