 	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory
181	24.838	40.913	1716.871	111.965	1	1	380	0
182	24.735	40.927	1716.878	111.966	1	1	381	0
183	24.895	41.749	1716.867	111.981	1	1	382	0
184	25.012	41.470	1716.898	111.964	1	1	383	0
185	24.992	42.102	1716.892	111.961	1	1	384	0
186	24.866	41.333	1716.879	111.979	1	1	385	0
187	24.721	41.513	1716.867	111.960	1	1	386	0
188	24.922	40.897	1716.845	111.966	1	1	387	0
189	24.805	42.287	1716.889	111.964	1	1	388	0
190	25.018	41.422	1716.883	111.983	1	1	389	0
191	25.046	40.566	1716.880	111.983	1	1	390	0
192	24.747	40.196	1716.863	111.991	1	1	391	0
193	24.706	42.264	1716.879	112.003	1	1	392	0
194	24.895	42.220	1716.891	112.011	1	1	393	0
195	24.833	41.755	1716.858	111.985	1	1	394	0
196	25.077	41.123	1716.848	111.956	1	1	395	0
197	24.978	42.530	1716.843	111.976	1	1	396	0
198	25.022	40.917	1716.867	111.989	1	1	397	0
199	24.983	42.174	1716.848	111.979	1	1	398	0
200	24.976	42.390	1716.894	112.015	1	1	399	0
201	25.184	41.084	1716.911	111.984	1	1	400	0
202	25.098	41.914	1716.915	111.976	1	1	401	0
203	25.213	41.331	1716.872	111.997	1	1	402	0
204	25.085	41.852	1716.903	111.974	1	1	403	0
205	25.063	42.184	1716.899	112.010	1	1	404	0
206	25.016	41.756	1716.913	111.953	1	1	405	0
207	24.991	41.791	1716.949	111.948	1	1	406	0
208	24.836	42.525	1716.878	111.957	1	1	407	0
209	24.850	41.142	1716.888	111.963	1	1	408	0
210	24.834	41.587	1716.911	111.983	1	1	409	0
211	24.758	41.063	1716.869	111.970	1	1	410	0
212	25.117	41.290	1716.845	111.957	1	1	411	0
213	25.106	40.893	1716.853	111.943	1	1	412	0
214	25.121	40.459	1716.814	111.966	1	1	413	0
215	25.162	40.457	1716.847	111.967	1	1	414	0
216	24.810	41.613	1716.838	111.974	1	1	415	0
217	24.849	40.989	1716.879	111.946	1	1	416	0
218	24.793	40.631	1716.859	111.983	1	1	417	0
219	25.094	40.358	1716.816	111.947	1	1	418	0
220	24.705	42.112	1716.842	111.991	1	1	419	0
221	25.126	41.058	1716.870	111.946	1	1	420	0
222	24.905	42.461	1716.854	111.983	1	1	421	0
223	24.998	39.507	1716.878	111.971	1	1	422	0
224	24.825	40.703	1716.868	111.939	1	1	423	0
225	25.160	41.113	1716.846	111.973	1	1	424	0
226	25.074	41.464	1716.853	111.965	1	1	425	0
227	24.910	41.631	1716.869	111.952	1	1	426	0
228	24.724	41.167	1716.833	111.989	1	1	427	0
229	24.829	42.099	1716.889	111.981	1	1	428	0
230	24.979	41.886	1716.853	111.996	1	1	429	0
231	25.042	39.965	1716.823	111.962	1	1	430	0
232	24.773	42.065	1716.837	111.977	1	1	431	0
233	24.750	40.967	1716.828	111.988	1	1	432	0
234	24.953	41.297	1716.816	111.964	1	1	433	0
235	25.211	40.237	1716.833	111.968	1	1	434	0
236	24.936	41.111	1716.835	111.985	1	1	435	0
237	24.982	40.113	1716.835	111.998	1	1	436	0
238	24.884	40.238	1716.839	111.969	1	1	437	0
239	24.747	41.147	1716.852	111.988	1	1	438	0
240	25.076	41.287	1716.829	111.948	1	1	439	0
241	25.115	41.147	1716.830	111.948	1	1	440	0
242	24.992	40.672	1716.865	111.984	1	1	441	0
243	25.111	41.015	1716.831	111.967	1	1	442	0
244	25.036	40.804	1716.859	111.953	1	1	443	0
245	24.967	41.824	1716.868	111.936	1	1	444	0
246	25.189	41.522	1716.837	111.951	1	1	445	0
247	25.031	41.003	1716.817	111.939	1	1	446	0
248	25.040	41.249	1716.896	111.968	1	1	447	0
249	25.012	41.793	1716.846	111.957	1	1	448	0
250	25.050	40.534	1716.830	111.937	1	1	449	0
251	25.022	41.872	1716.827	111.967	1	1	450	0
252	25.255	40.528	1716.853	111.963	1	1	451	0
253	25.237	42.101	1716.870	111.937	1	1	452	0
254	24.935	41.436	1716.867	111.968	1	1	453	0
255	25.066	41.527	1716.875	111.951	1	1	454	0
256	25.271	40.886	1716.860	111.955	1	1	455	0
257	25.254	40.698	1716.870	111.928	1	1	456	0
258	25.057	41.435	1716.858	111.982	1	1	457	0
259	24.944	41.523	1716.866	111.948	1	1	458	0
