trajectory	start	end	x1	y1	x2	y2	duration	distance	rate	angle_deg	msd_y	L_um	F_pN_abs	F_pN		
1340	302.55	304.35	-0.034	0.026	0.761	0.471	1.8	0.911	0.506	29.264	1.03773538244385e-13	12.47452659774797	0.4290994835134779	0.4290994835134779
1466	170.4	171.9	-0.268	0.5580000000000001	-1.227	-0.083	1.5	1.154	0.769	-146.228	4.366910297283949e-14	13.80601548893807	0.9854119270710094	-0.9854119270710094
1564	185.7	187.35	-0.583	0.097	-1.421	0.056	1.65	0.839	0.508	-177.204	8.649146199974758e-15	14.92803425810776	3.371136777214777	-3.371136777214777
1647	137.85	138.75	-0.246	0.0003	-0.659	0.241	0.9	0.478	0.531	149.798	2.023387763305784e-14	14.47124311001994	1.84786405352148	-1.84786405352148
1731	176.1	180.15	-4.133	0.766	-5.662	0.548	4.05	1.544	0.381	-171.885	1.343915761301314e-14	14.71736980665109	2.494631011681911	-2.494631011681911
2188	135.15	135.9	-0.748	0.022	-0.29	-0.018	0.75	0.46	0.613	-5.085	2.351006868480725e-14	14.36532286385037	1.646023962153681	1.646023962153681
2188	175.2	177.6	-1.197	-0.065	-0.063	-0.068	2.4	1.134	0.473	-0.163	2.351006868480725e-14	14.36532286385037	1.646023962153681	1.646023962153681
2188	177.9	178.65	0.059	0.094	0.418	-0.076	0.75	0.397	0.529	-25.276	2.351006868480725e-14	14.36532286385037	1.646023962153681	1.646023962153681
2213	185.85	186.75	-0.521	0.3	-1.283	-0.187	0.9	0.904	1.005	-147.429	1.538124239017831e-13	11.46565909445386	0.2768068079617818	-0.2768068079617818
2438	290.55	291.9	1.494	0.105	1.15	-0.101	1.35	0.401	0.297	-149.141	6.907973678911561e-15	15.01885099399223	3.901159205119975	-3.901159205119975
2438	345.9	346.95	0.593	-0.096	0.339	-0.008	1.05	0.269	0.256	160.986	6.907973678911561e-15	15.01885099399223	3.901159205119975	-3.901159205119975
2501	321	322.35	0.08	0.227	-0.224	0.538	1.35	0.434	0.322	134.402	1.150408404535147e-13	12.24481460192327	0.3843405313334491	-0.3843405313334491
9	123.9	125.4	-0.9409999999999999	0.166	-1.673	0.155	1.5	0.732	0.488	-179.153	2.089839778546712e-14	14.44922858666355	1.802888944062758	-1.802888944062758
75	171	172.5	-0.182	-0.044	-0.878	0.038	1.5	0.701	0.467	173.298	2.965317871918861e-16	15.71528518783285	22.89500535859316	-22.89500535859316
75	174.3	177.45	-0.89	0.093	-2.547	-0.06	3.15	1.664	0.528	-174.748	2.965317871918861e-16	15.71528518783285	22.89500535859316	-22.89500535859316
77	136.2	137.7	-0.5639999999999999	-0.013	-1.341	0.207	1.5	0.8070000000000001	0.538	164.204	9.666501997352056e-15	14.87928277838912	3.130586347723296	-3.130586347723296
77	138	138.9	-1.037	0.23	-2.167	0.143	0.9	1.133	1.259	-175.574	9.666501997352056e-15	14.87928277838912	3.130586347723296	-3.130586347723296
120	124.2	125.25	0.192	0.08599999999999999	-0.491	0.004	1.05	0.6879999999999999	0.655	-173.084	6.470220131455865e-16	15.60394929812212	15.1601155059542	-15.1601155059542
120	135	135.9	-2.001	-0.099	-3.033	-0.202	0.9	1.037	1.152	-174.303	6.470220131455865e-16	15.60394929812212	15.1601155059542	-15.1601155059542
135	173.7	175.2	-0.319	0.179	0.428	0.296	1.5	0.756	0.504	8.917999999999999	4.344562311604817e-14	13.81164793724797	0.9898610778768988	0.9898610778768988
140	203.4	207	-0.025	0.062	1.509	-0.037	3.6	1.537	0.427	-3.708	1.415148356090007e-14	14.68932126415311	2.404695526310334	2.404695526310334
230	228.45	229.8	10.84	-0.869	9.502000000000001	-0.462	1.35	1.398	1.036	163.086	1.0825179415789e-14	14.82676102173101	2.899533474127545	-2.899533474127545
230	232.8	234.3	9.368	-0.546	8.518000000000001	-0.393	1.5	0.864	0.576	169.785	1.0825179415789e-14	14.82676102173101	2.899533474127545	-2.899533474127545
230	236.55	238.35	8.105	-0.496	5.956	-0.373	1.8	2.152	1.196	176.733	1.0825179415789e-14	14.82676102173101	2.899533474127545	-2.899533474127545
230	239.55	246.75	5.816	-0.283	1.15	0.227	7.2	4.694	0.652	173.773	1.0825179415789e-14	14.82676102173101	2.899533474127545	-2.899533474127545
245	151.65	153.15	-0.994	0.344	-1.672	0.527	1.5	0.702	0.468	164.91	3.525326016710957e-14	14.02523046709883	1.184759625742649	-1.184759625742649
248	141.6	142.5	-0.107	0.082	0.16	0.128	0.9	0.271	0.301	9.803000000000001	2.705089312021429e-14	14.25720722086747	1.473008749579117	1.473008749579117
296	124.8	126.15	-0.243	0.25	0.328	0.036	1.35	0.61	0.452	-20.556	2.086197670132323e-14	14.45042767416623	1.805295121485674	1.805295121485674
339	120.45	121.2	-0.272	-0.058	-0.161	0.33	0.75	0.403	0.537	74.017	5.485201842918987e-15	15.10261257873406	4.511071811605211	4.511071811605211
397	178.5	179.25	-0.217	0.269	0.186	0.212	0.75	0.407	0.543	-8.111000000000001	5.265040209432672e-14	13.58638622813825	0.8335769434428275	0.8335769434428275
413	210.3	211.8	-0.754	0.114	-1.19	0.08699999999999999	1.5	0.437	0.291	-176.517	3.607587672659669e-14	14.00308553913984	1.161893452423826	-1.161893452423826
443	140.25	150	-0.305	0.003	-0.843	0.062	9.75	0.541	0.056	173.728	4.000474077159756e-14	13.89957995468417	1.063585729915947	-1.063585729915947
488	146.4	147.45	-0.256	0.454	0.166	-0.127	1.05	0.718	0.6840000000000001	-54.022	3.306767687294464e-14	14.08495500671461	1.250032254944788	1.250032254944788
533	142.8	144.15	-0.393	0.153	-1.177	0.117	1.35	0.785	0.581	-177.365	3.211947180303341e-14	14.11129530416636	1.280606232252792	-1.280606232252792
533	148.05	149.55	-1.355	-0.131	-2.033	0.156	1.5	0.736	0.491	157.075	3.211947180303341e-14	14.11129530416636	1.280606232252792	-1.280606232252792
538	190.2	190.95	-0.269	0.39	0.156	0.03	0.75	0.5570000000000001	0.743	-40.268	5.145630647351741e-14	13.6149027993824	0.8511450302275014	0.8511450302275014
562	142.2	143.55	-1.01	-0.028	-0.188	0.128	1.35	0.837	0.62	10.768	2.342024538127554e-14	14.36814486898697	1.650953016582112	1.650953016582112
562	148.05	149.25	0.628	0.15	1.287	0.02	1.2	0.672	0.5600000000000001	-11.175	2.342024538127554e-14	14.36814486898697	1.650953016582112	1.650953016582112
562	153.15	153.9	1.754	0.169	2.14	0.216	0.75	0.389	0.518	6.834	2.342024538127554e-14	14.36814486898697	1.650953016582112	1.650953016582112
562	182.7	183.9	3.899	0.179	4.702	0.351	1.2	0.821	0.6840000000000001	12.06	2.342024538127554e-14	14.36814486898697	1.650953016582112	1.650953016582112
562	187.8	190.65	5.489	0.077	6.75	0.305	2.85	1.281	0.45	10.245	2.342024538127554e-14	14.36814486898697	1.650953016582112	1.650953016582112
566	126.9	127.65	-1.25	-0.404	-1.867	-0.315	0.75	0.623	0.831	171.734	3.447312564613743e-14	14.04639679324185	1.207274681886548	-1.207274681886548
572	126.3	127.35	-2.491	0.052	-3.027	0.047	1.05	0.536	0.511	-179.37	1.0996541797366e-14	14.81923012952845	2.868544663258557	-2.868544663258557
581	136.8	137.85	-0.274	0.032	0.089	-0.011	1.05	0.366	0.348	-6.818	1.887610972119856e-14	14.51717421703279	1.94743302638479	1.94743302638479
618	132.15	133.95	-0.774	0.277	-2.175	0.199	1.8	1.403	0.78	-176.789	8.486408619208189e-15	14.93609590740058	3.413616623183322	-3.413616623183322
636	136.2	137.4	-0.113	-0.022	0.034	0.281	1.2	0.337	0.281	64.10899999999999	4.554777883034025e-14	13.75901776432416	0.9494726242415843	0.9494726242415843
730	126.15	127.5	-0.345	0.261	0.427	-0.271	1.35	0.9379999999999999	0.695	-34.577	3.524903716811458e-14	14.02534460570703	1.184879285498343	1.184879285498343
798	145.2	148.2	-0.154	0.118	1.29	0.028	3	1.447	0.482	-3.543	1.676227631257951e-14	14.59155505462165	2.127087261555207	2.127087261555207
816	137.7	138.75	-0.268	0.058	-0.638	-0.139	1.05	0.419	0.399	-151.906	3.033409046265432e-14	14.16165946885795	1.342384980370662	-1.342384980370662
819	163.05	163.95	-0.202	0.192	0.026	-0.463	0.9	0.6929999999999999	0.77	-70.798	2.276722436486071e-14	14.38879124266977	1.687716709253509	1.687716709253509
839	130.35	131.55	-0.673	-0.152	-1.483	-0.147	1.2	0.8100000000000001	0.675	179.683	1.9036853531e-14	14.51166629898373	1.93506375621667	-1.93506375621667
842	186	187.35	-0.232	0.341	0.631	-0.209	1.35	1.023	0.758	-32.474	4.47559925649503e-14	13.77875020208522	0.9643090213754673	0.9643090213754673
899	166.95	168.9	-0.253	0.091	0.854	0.127	1.95	1.108	0.5679999999999999	1.855	4.903918496522569e-14	13.67322626567807	0.8889308399179342	0.8889308399179342
914	150	150.75	-0.08699999999999999	0.096	-0.44	0.06900000000000001	0.75	0.354	0.472	-175.514	1.833392286304663e-14	14.53589941679858	1.990405108965422	-1.990405108965422
916	132.9	136.2	-0.019	0.135	0.789	0.213	3.3	0.8120000000000001	0.246	5.486	2.239186710084905e-14	14.4007653077282	1.709618751209798	1.709618751209798
936	225.6	234.3	-0.124	0.063	4.298	-0.133	8.699999999999999	4.426	0.509	-2.537	2.960649417916437e-14	14.18249071560103	1.369294619258921	1.369294619258921
1043	214.8	216.3	-0.283	-0.44	0.188	-0.435	1.5	0.471	0.314	0.552	3.805665449702569e-14	13.95045501978926	1.110219716722775	1.110219716722775
1048	203.55	206.1	-0.782	-0.024	-1.854	0.201	2.55	1.095	0.43	168.169	2.744785872736809e-14	14.24543392965506	1.455876332132017	-1.455876332132017
1048	207.3	208.35	-1.912	0.08	-2.711	0.032	1.05	0.8	0.762	-176.562	2.744785872736809e-14	14.24543392965506	1.455876332132017	-1.455876332132017
