trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)	msd_y
3031	390.45	391.2	-0.469	-0.07099999999999999	-0.789	-0.041	0.75	0.321	0.428	174.735	4.470545819848143e-14
3031	393.6	395.1	-0.8129999999999999	-0.311	-1.856	-0.113	1.5	1.062	0.708	169.245	4.470545819848143e-14
3031	413.7	414.6	-1.832	-0.281	-2.166	-0.285	0.9	0.334	0.372	-179.431	4.470545819848143e-14
3052	349.05	350.55	0.062	-0.494	-0.517	0.022	1.5	0.776	0.517	138.303	4.546072317287703e-14
3077	337.35	339.45	0.314	-0.026	-0.507	-0.08599999999999999	2.1	0.823	0.392	-175.823	1.706499341864884e-14
3106	373.35	375.15	-2.302	-0.041	-2.789	-1.745	1.8	1.772	0.984	-105.936	2.492005687318647e-14
3247	352.35	353.25	-0.299	-0.214	-0.608	-0.391	0.9	0.356	0.395	-150.226	3.603549798320058e-14
3269	361.2	362.1	-0.125	-0.08799999999999999	0.226	-0.111	0.9	0.351	0.39	-3.82	3.019296172539549e-14
3272	335.55	336.45	0.133	-0.382	-0.35	0.248	0.9	0.794	0.882	127.478	4.064892077069702e-14
3308	361.35	362.4	0.419	0.89	-0.858	-0.825	1.05	2.138	2.036	-126.673	2.75014816544814e-14
3355	356.7	357.45	0.298	-0.338	-0.648	-0.097	0.75	0.976	1.301	165.698	4.431635901608975e-14
3411	318	318.75	0.354	0.394	-0.843	-0	0.75	1.26	1.68	-161.765	3.792236868079237e-14
3429	357.6	359.4	-0.061	0.409	-0.629	-0.181	1.8	0.819	0.455	-133.925	3.892121808511499e-14
3546	336	338.1	0.08	0.135	-0.522	-0.926	2.1	1.22	0.581	-119.557	4.135539336704341e-14
3593	383.25	386.25	-0.926	-0.449	-0.362	-0.275	3	0.591	0.197	17.123	5.224900163068634e-14
3803	402.45	403.65	-2.578	0.187	-1.45	0.008	1.2	1.142	0.952	-8.991	2.100944568441602e-14
4206	341.25	342	-0.094	-0.221	-0.834	0.291	0.75	0.899	1.199	145.313	4.982743832655024e-14
4382	468	468.9	-0.574	0.511	0.117	-0.126	0.9	0.9399999999999999	1.044	-42.645	5.83422762775092e-14
4779	458.55	460.05	0.118	-0.197	-0.477	-0.272	1.5	0.6	0.4	-172.903	2.17413559269446e-14
5113	325.95	326.85	0.114	0.08400000000000001	-0.186	0.253	0.9	0.344	0.382	150.49	2.752517081959829e-14
5544	487.95	490.35	0.04	0.017	1.554	-0.104	2.4	1.518	0.633	-4.552	3.700270151947792e-14
5566	347.4	348.6	0.397	0.5	-0.203	0.282	1.2	0.638	0.532	-160.083	1.418668399092971e-13
5753	345.75	346.65	-0.136	-0.0001	-0.03	-0.015	0.9	0.107	0.118	-7.93	4.540218368541952e-15
6002	322.95	323.7	0.251	0.065	-0.046	0.214	0.75	0.333	0.444	153.409	5.432975720897113e-14
6703	379.05	380.85	0.06900000000000001	-1.947	0.8100000000000001	0.708	1.8	2.757	1.532	74.41200000000001	5.058439955678666e-14
6880	347.55	348.45	0.8	0.16	-0.35	0.035	0.9	1.157	1.286	-173.768	1.568588403257907e-14
7020	465.9	468	0.462	0.051	1.026	-0.01	2.1	0.5669999999999999	0.27	-6.221	3.442692013217975e-14
7087	355.95	356.7	-0.435	0.03	-2.194	-0.21	0.75	1.775	2.366	-172.229	2.351934524815843e-14
7100	363.45	370.5	0.202	-0.24	-2.798	0.179	7.05	3.029	0.43	172.044	3.664438097122506e-14
7314	338.4	339.15	0.134	-0.193	-0.395	0.26	0.75	0.696	0.929	139.507	2.629785948538237e-14
7506	380.85	381.9	-0.08500000000000001	0.064	0.358	-0.182	1.05	0.507	0.483	-29.028	6.133556033876094e-14
7764	338.1	339.3	0.379	0.369	-0.322	-0.08699999999999999	1.2	0.837	0.697	-146.902	3.635838781217483e-14
