trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)	msd_y
272	117.9	121.05	-1.199	-0.33	-1.869	-0.106	3.15	0.707	0.224	161.499	1.643147559644001e-14
316	102.45	104.4	0.07099999999999999	-0.08	0.359	-0.128	1.95	0.292	0.15	-9.472	1.220216717144719e-14
376	76.8	77.55	0.164	-0.1	-0.184	-0.047	0.75	0.352	0.469	171.317	9.004919748520711e-15
464	97.8	98.7	0.008999999999999999	0.107	0.15	-0.047	0.9	0.209	0.233	-47.674	1.002253698244035e-14
495	97.05	99.15000000000001	0.078	-0.171	0.277	-0.193	2.1	0.2	0.095	-6.272	6.965351407641464e-15
517	103.2	105.3	-1.606	-0.03	-0.995	-0.033	2.1	0.611	0.291	-0.326	1.130095779298038e-14
517	106.05	107.7	-0.9409999999999999	-0.06	-0.538	-0.192	1.65	0.424	0.257	-18.095	1.130095779298038e-14
598	98.40000000000001	99.90000000000001	0.021	0.135	0.137	-0.141	1.5	0.299	0.199	-67.15300000000001	1.074395945520115e-14
651	158.25	159.15	-0.044	0.033	0.409	-0.035	0.9	0.458	0.509	-8.573	1.749667586320587e-14
656	216.15	217.5	0.115	0.078	0.337	-0.102	1.35	0.286	0.212	-39.026	1.27801892523377e-14
16	86.55	87.45	0.0001	-0.134	0.232	0.013	0.9	0.275	0.305	32.49	7.506765239312343e-15
142	138.9	142.8	0.074	-0.143	0.219	-0.155	3.9	0.146	0.037	-4.888	8.521615890261629e-15
185	72.3	73.2	0.068	-0.056	0.115	-0.205	0.9	0.156	0.173	-72.455	1.424462597143456e-14
218	87.75	88.65000000000001	0.121	-0.271	0.202	-0.001	0.9	0.282	0.314	73.328	1.263444761029411e-14
237	85.65000000000001	88.95	-0.55	-0.13	0.047	-0.089	3.3	0.598	0.181	3.938	1.223592996913581e-14
237	90	90.75	0.074	-0.09	0.31	-0.196	0.75	0.259	0.345	-24.302	1.223592996913581e-14
237	94.2	95.84999999999999	0.401	-0.162	0.8	-0.066	1.65	0.41	0.249	13.554	1.223592996913581e-14
237	98.84999999999999	100.65	1.396	-0.261	2.094	-0.046	1.8	0.73	0.406	17.13	1.223592996913581e-14
237	112.8	115.2	2.238	-0.07000000000000001	3.12	0.044	2.4	0.889	0.371	7.359	1.223592996913581e-14
285	96.90000000000001	97.8	0.007	-0.215	0.065	-0.106	0.9	0.124	0.138	62.061	1.167007726400001e-14
285	98.40000000000001	99.59999999999999	0.081	-0.109	0.179	-0.135	1.2	0.101	0.08500000000000001	-14.981	1.167007726400001e-14
289	118.05	118.95	0.05	-0.244	0.187	0.07099999999999999	0.9	0.344	0.382	66.502	1.854022293029131e-14
322	130.65	133.8	0.021	-0.013	0.573	-0.2	3.15	0.583	0.185	-18.689	1.540886590337379e-14
361	72.15000000000001	73.05	0.046	0.026	0.221	-0.129	0.9	0.234	0.26	-41.671	5.869887075124896e-15
377	196.05	201.15	-0.595	0.135	1.139	-0.376	5.1	1.808	0.354	-16.416	1.862330114429358e-14
377	204.3	211.2	1.39	-0.387	3.352	-0.657	6.9	1.981	0.287	-7.857	1.862330114429358e-14
377	214.35	217.05	3.836	-0.618	4.898	-0.668	2.7	1.063	0.394	-2.677	1.862330114429358e-14
377	217.8	219.45	4.933	-0.546	5.951	-0.591	1.65	1.019	0.618	-2.536	1.862330114429358e-14
437	147	148.8	-0.034	-0.076	0.258	-0.062	1.8	0.292	0.162	2.799	1.886692139812877e-14
446	87.75	88.95	-0.524	-0.123	-1.236	-0.158	1.2	0.713	0.594	-177.191	7.586652580536257e-15
455	72.3	73.2	-0.216	0.054	-0.9429999999999999	-0.198	0.9	0.77	0.855	-160.859	1.05025564713659e-14
456	67.8	69.15000000000001	0.107	-0.124	0.264	-0.2	1.35	0.174	0.129	-25.879	9.589235434007133e-15
499	74.09999999999999	76.2	-0.059	-0.104	-1.038	-0.017	2.1	0.983	0.468	174.917	1.264456866941015e-14
517	92.7	93.90000000000001	0.051	0.045	0.293	-0.147	1.2	0.309	0.257	-38.444	1.400102523216579e-14
599	120.6	121.5	0.133	0.227	0.396	0.027	0.9	0.33	0.367	-37.272	1.124660316446508e-14
603	134.85	136.5	-0.068	-0.155	0.455	0.05	1.65	0.5620000000000001	0.34	21.413	8.250316299841726e-15
658	77.84999999999999	78.75	0.014	-0.192	0.344	-0.344	0.9	0.363	0.404	-24.74	1.018089843024109e-14
720	85.65000000000001	86.40000000000001	0.08500000000000001	-0.308	0.262	-0.03	0.75	0.33	0.439	57.513	1.642359660459137e-14
725	90.3	93	-0.159	-0.192	0.574	-0.092	2.7	0.74	0.274	7.716	2.375690162279035e-14
733	96.59999999999999	99.75	-0.005	-0.092	0.303	-0.097	3.15	0.308	0.098	-1.092	1.226268564461041e-14
995	110.55	113.1	-0.839	-0.08599999999999999	-0.259	0.013	2.55	0.588	0.231	9.673999999999999	1.295934301637459e-14
995	114.75	116.55	-0.074	0.047	0.407	0.095	1.8	0.483	0.269	5.641	1.295934301637459e-14
995	119.7	121.8	0.597	0.048	1.012	0.037	2.1	0.415	0.198	-1.463	1.295934301637459e-14
995	124.05	126	1.53	-0.013	2.152	0.096	1.95	0.632	0.324	9.981999999999999	1.295934301637459e-14
1080	101.7	103.5	0.08	0.044	0.441	0.127	1.8	0.37	0.206	12.936	1.023199476961097e-14
