trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)	msd_y	L_um	F_pN_abs	F_pN	
5544	487.95	490.35	0.04	0.017	1.554	-0.104	2.4	1.518	0.633	-4.552	3.700270151947792e-14	13.95414353303634	1.113723806149909	1.113723806149909
5566	347.4	348.6	0.397	0.5	-0.203	0.282	1.2	0.638	0.532	-160.083	1.418668399092971e-13	11.67977333045123	0.3011020134946448	-0.3011020134946448
5753	345.75	346.65	-0.136	-0.0001	-0.03	-0.015	0.9	0.107	0.118	-7.93	4.540218368541952e-15	15.14577731208059	4.88359813303309	4.88359813303309
6002	322.95	323.7	0.251	0.065	-0.046	0.214	0.75	0.333	0.444	153.409	5.432975720897113e-14	13.52229110582667	0.7961020492649956	-0.7961020492649956
6703	379.05	380.85	0.06900000000000001	-1.947	0.8100000000000001	0.708	1.8	2.757	1.532	74.41200000000001	5.058439955678666e-14	13.61155556377199	0.8490530401652122	0.8490530401652122
6880	347.55	348.45	0.8	0.16	-0.35	0.035	0.9	1.157	1.286	-173.768	1.568588403257907e-14	14.60787511685764	2.169904018915661	-2.169904018915661
7020	465.9	468	0.462	0.051	1.026	-0.01	2.1	0.5669999999999999	0.27	-6.221	3.442692013217975e-14	14.02349757654318	1.182945212069226	1.182945212069226
7087	355.95	356.7	-0.435	0.03	-2.194	-0.21	0.75	1.775	2.366	-172.229	2.351934524815843e-14	14.34123193061675	1.604852606800877	-1.604852606800877
7100	363.45	370.5	0.202	-0.24	-2.798	0.179	7.05	3.029	0.43	172.044	3.664438097122506e-14	13.96368970645629	1.122872889419196	-1.122872889419196
7314	338.4	339.15	0.134	-0.193	-0.395	0.26	0.75	0.696	0.929	139.507	2.629785948538237e-14	14.25578882110068	1.470928258346768	-1.470928258346768
7506	380.85	381.9	-0.08500000000000001	0.064	0.358	-0.182	1.05	0.507	0.483	-29.028	6.133556033876094e-14	13.35977803114795	0.7120999269755909	0.7120999269755909
7764	338.1	339.3	0.379	0.369	-0.322	-0.08699999999999999	1.2	0.837	0.697	-146.902	3.635838781217483e-14	13.97133184679099	1.130281582379106	-1.130281582379106
7986	430.2	430.95	-5.44	0.644	-6.374	0.669	0.75	0.9350000000000001	1.246	178.472	3.459026663237315e-14	14.01904721894302	1.178305193941592	-1.178305193941592
7986	432.6	434.25	-6.96	0.617	-9.805	0.672	1.65	2.845	1.724	178.897	3.459026663237315e-14	14.01904721894302	1.178305193941592	-1.178305193941592
8283	394.5	395.85	0.042	-0.239	0.573	-0.094	1.35	0.55	0.408	15.207	3.541871046036141e-14	13.99658797263234	1.155314098553917	1.155314098553917
8332	384	385.05	-0.174	0.114	0.078	0.191	1.05	0.264	0.252	16.997	1.267021985120207e-14	14.72580647636712	2.52269028145364	2.52269028145364
8563	398.7	399.6	-0.366	-0.158	-1.342	-0.353	0.9	0.995	1.106	-168.681	6.079337098058658e-14	13.37217049354613	0.7180046675787567	-0.7180046675787567
8590	345.3	346.2	0.392	-0.387	-0.062	-0.08	0.9	0.548	0.609	145.999	4.930540878289949e-14	13.64247487111867	0.8686884629545825	-0.8686884629545825
8646	343.5	345	0.65	0.13	-0.192	0.08599999999999999	1.5	0.843	0.5620000000000001	-177.01	3.840030917125804e-14	13.91720433168772	1.079390282960995	-1.079390282960995
8671	435	438.45	-0.474	-0.062	0.645	0.035	3.45	1.123	0.325	4.961	2.435069976643433e-14	14.31527082138116	1.562235410521557	1.562235410521557
8671	438.9	444.75	0.643	-0.124	3.166	-0.018	5.85	2.525	0.432	2.417	2.435069976643433e-14	14.31527082138116	1.562235410521557	1.562235410521557
8755	385.65	386.55	-0.061	-1.474	0.106	-1.106	0.9	0.404	0.449	65.688	2.837514887963228e-14	14.19416806091175	1.384745943416219	1.384745943416219
8763	384	384.9	-0.154	0.164	-1.632	0.07000000000000001	0.9	1.481	1.646	-176.354	6.071538153059319e-14	13.37395541969855	0.718861484359721	-0.718861484359721
8863	415.8	418.05	-0.728	0.046	0.301	-0.065	2.25	1.035	0.46	-6.138	2.56255657325714e-14	14.27612643722125	1.501199231969284	1.501199231969284
8871	431.25	432.9	-0.094	-0.023	0.275	0.097	1.65	0.389	0.236	18.092	1.934839635597135e-14	14.47753924581564	1.861044293621299	1.861044293621299
8890	503.25	505.05	-0.485	0.344	-1.493	0.494	1.8	1.019	0.5659999999999999	171.483	5.097437921038401e-14	13.60217391461215	0.8432322856859078	-0.8432322856859078
8901	346.05	348.45	0.518	-0.029	0.06900000000000001	-0.058	2.4	0.451	0.188	-176.311	2.047339227862357e-14	14.43967506440216	1.783893014735971	-1.783893014735971
9043	387	387.75	-0.109	-3.318	0.206	0.488	0.75	3.819	5.092	85.26600000000001	1.562567896063999e-14	14.61012301028571	2.175904854673634	2.175904854673634
9181	401.85	403.05	0.579	-0.12	0.922	0.044	1.2	0.38	0.316	25.579	3.192383010186937e-14	14.09265625952288	1.258853354111604	1.258853354111604
9370	368.85	369.6	0.418	0.457	-0.115	-0.115	0.75	0.782	1.043	-132.953	4.833973858833469e-14	13.66597803811096	0.884093689772388	-0.884093689772388
9430	390.9	392.1	0.045	0.328	0.082	0.281	1.2	0.06	0.05	-52.297	2.594495898771039e-14	14.26643910916356	1.486661655197051	1.486661655197051
9454	402.6	403.5	0.272	-0.192	-0.554	-0.08	0.9	0.833	0.926	172.266	1.86461314758347e-14	14.50164575459898	1.912867532316693	-1.912867532316693
9509	428.85	430.05	-0.173	0.106	0.366	0.183	1.2	0.545	0.454	8.135	1.417148535147392e-14	14.66565786465322	2.332618975017958	2.332618975017958
9520	486.3	488.1	-0.134	-0.416	0.806	-0.092	1.8	0.995	0.553	18.979	3.944528106113029e-14	13.88987939525262	1.055039873525494	1.055039873525494
9588	423.3	426.3	0.421	-0.292	1.995	-0.242	3	1.575	0.525	1.837	5.26495705113706e-14	13.56210914656926	0.8190638030729596	0.8190638030729596
9588	434.55	439.95	-0.573	-0.498	1.742	-0.125	5.4	2.345	0.434	9.151999999999999	5.26495705113706e-14	13.56210914656926	0.8190638030729596	0.8190638030729596
9588	441.45	443.55	2.28	0.008	3.394	0.123	2.1	1.119	0.533	5.867	5.26495705113706e-14	13.56210914656926	0.8190638030729596	0.8190638030729596
9588	460.5	462.3	1.845	-0.279	2.904	-0.357	1.8	1.062	0.59	-4.239	5.26495705113706e-14	13.56210914656926	0.8190638030729596	0.8190638030729596
9617	378.3	379.35	0.058	0.135	-0.216	0.08400000000000001	1.05	0.278	0.265	-169.335	4.039884045351472e-14	13.86515335131503	1.033734073482858	-1.033734073482858
9709	394.8	395.85	0.139	-0.295	-0.8110000000000001	0.002	1.05	0.996	0.948	162.637	1.903734828016494e-14	14.48817004178146	1.883628819711301	-1.883628819711301
9943	419.7	420.45	0.123	-0.392	-0.659	0.324	0.75	1.061	1.414	137.528	5.540536584104665e-14	13.49698349496032	0.7820278784664115	-0.7820278784664115
9982	415.35	416.1	-0.048	-0.147	0.17	0.5679999999999999	0.75	0.748	0.997	73.078	6.431869135802466e-14	13.29209116646353	0.6811555468240929	0.6811555468240929
