trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)	msd_y	L_um	F_pN_abs	F_pN	
809	86.7	88.95	-0.783	-0.108	-2.061	-0.231	2.25	1.284	0.571	-174.484	1.237669909279779e-14	14.80304095782029	2.803614515501389	-2.803614515501389
811	114	116.55	0.056	-0.139	1.043	0.025	2.55	1.001	0.392	9.454000000000001	1.964244378342647e-14	14.53507786163578	1.988489342613102	1.988489342613102
811	117.6	120.6	1.183	0.101	2.718	0.184	3	1.537	0.512	3.089	1.964244378342647e-14	14.53507786163578	1.988489342613102	1.988489342613102
825	86.84999999999999	87.59999999999999	0.08	-0.066	0.356	0.04	0.75	0.296	0.394	21.012	9.691824234386416e-15	14.9195469415427	3.327277292525524	3.327277292525524
832	117.3	118.2	0.06	-0.103	0.369	0.076	0.9	0.357	0.397	30.144	1.405735316835936e-14	14.73600766078193	2.557267131628104	2.557267131628104
849	74.84999999999999	75.59999999999999	0.07199999999999999	-0.08	0.23	-0.348	0.75	0.311	0.415	-59.506	1.093080453877551e-14	14.86411736746956	3.061068318591501	3.061068318591501
888	74.7	78	-0.123	0.239	0.312	-0.225	3.3	0.636	0.193	-46.856	8.944085130797088e-15	14.95466183960022	3.514601109041442	3.514601109041442
1062	183.3	187.95	1.317	-0.061	1.997	-0.008	4.65	0.6820000000000001	0.147	4.468	6.627677054102259e-15	15.0739517016048	4.287016372984652	4.287016372984652
1067	86.7	88.95	-0.254	-0.282	0.276	-0.142	2.25	0.548	0.244	14.709	5.174145151695355e-15	15.16035868046286	5.020038923901931	5.020038923901931
1067	101.25	103.05	1.403	-0.212	2.047	-0.158	1.8	0.646	0.359	4.782	5.174145151695355e-15	15.16035868046286	5.020038923901931	5.020038923901931
1086	90	91.34999999999999	0.189	-0.026	0.416	-0.148	1.35	0.258	0.191	-28.179	1.32614100885813e-14	14.76727714787737	2.667888648312951	2.667888648312951
1289	137.7	138.75	-0.076	0.059	0.091	-0.092	1.05	0.225	0.214	-42.053	1.190719471045505e-14	14.82249323099076	2.881909658118134	2.881909658118134
35	75	76.65000000000001	0.314	0.052	0.584	0.063	1.65	0.27	0.164	2.264	8.864880000000001e-15	14.95846412235245	3.535842969643488	3.535842969643488
58	105.45	106.95	0.07000000000000001	0.081	0.425	-0.134	1.5	0.415	0.277	-31.207	1.056728044661288e-14	14.88005638790446	3.134196860410861	3.134196860410861
227	87.45	88.2	0.057	-0.08599999999999999	-0.334	-0.161	0.75	0.398	0.531	-169.116	9.067145997078159e-15	14.94878689638853	3.482159745889583	-3.482159745889583
305	98.40000000000001	99.45	0.042	0.004	0.154	0.03	1.05	0.115	0.11	13.088	1.018190098241213e-14	14.89723982940589	3.216057478542773	3.216057478542773
322	76.65000000000001	80.40000000000001	-0.114	-0.194	-1.914	-0.136	3.75	1.801	0.48	178.162	7.890771589594159e-15	15.0066826790897	3.823066256012678	-3.823066256012678
435	79.5	80.25	0.051	-0.022	0.192	-0.128	0.75	0.176	0.235	-36.882	8.98061687363038e-15	14.9529136922679	3.504899973874924	3.504899973874924
564	69	70.05	0.036	-0.022	-0.125	-0.073	1.05	0.169	0.161	-162.723	8.024094741776937e-15	14.99991388386511	3.780649694423926	-3.780649694423926
582	84.90000000000001	85.95	-0.793	0.076	-1.3	-0.19	1.05	0.572	0.545	-152.384	1.29028984214387e-14	14.78163558172472	2.721148980590289	-2.721148980590289
606	239.85	242.4	0.157	0.013	0.88	0.034	2.55	0.723	0.284	1.708	1.036961836096773e-14	14.88883190653658	3.175601058451491	3.175601058451491
608	82.2	83.55	-0.257	-0.185	-0.014	-0.223	1.35	0.246	0.182	-8.763	1.435544651225196e-14	14.72450001822391	2.518313702244544	2.518313702244544
608	85.65000000000001	87.3	-0.319	-0.231	0.045	-0.146	1.65	0.374	0.227	13.245	1.435544651225196e-14	14.72450001822391	2.518313702244544	2.518313702244544
608	90.15000000000001	92.25	-0.574	-0.36	0.127	-0.004	2.1	0.786	0.374	26.882	1.435544651225196e-14	14.72450001822391	2.518313702244544	2.518313702244544
608	94.2	95.40000000000001	0.5669999999999999	-0.117	1.105	-0.013	1.2	0.548	0.457	10.918	1.435544651225196e-14	14.72450001822391	2.518313702244544	2.518313702244544
642	92.84999999999999	94.34999999999999	0.118	0.033	0.489	-0.415	1.5	0.582	0.388	-50.389	1.727584041122436e-14	14.61680127143158	2.1938834568258	2.1938834568258
644	69.59999999999999	70.65000000000001	-0.008	0.006	0.202	-0.147	1.05	0.26	0.247	-36.019	1.120372661367803e-14	14.85231401491722	3.008576430809379	3.008576430809379
725	123.15	125.1	0.455	-0.149	0.956	0.021	1.95	0.529	0.271	18.784	1.486782620754062e-14	14.70496281611981	2.454225412384203	2.454225412384203
743	91.34999999999999	92.40000000000001	0.215	-0.156	-0.039	-0.08400000000000001	1.05	0.264	0.251	164.27	2.225626958302251e-14	14.44934830650297	1.803128961122364	-1.803128961122364
820	71.25	72.15000000000001	0.137	-0.039	0.0003	-0.105	0.9	0.152	0.169	-154.328	8.006331267217624e-15	15.00081244461265	3.786239229099377	-3.786239229099377
844	105.6	107.85	0.169	-0.073	0.654	-0.118	2.25	0.487	0.217	-5.368	1.035370401133341e-14	14.88954188921685	3.178987240440051	3.178987240440051
968	121.8	124.05	-0.012	-0.117	-0.584	-0.49	2.25	0.6830000000000001	0.303	-146.923	1.184201232765001e-15	15.52565407086312	11.85649921613526	-11.85649921613526
970	86.55	87.90000000000001	0.013	-0.049	-0.409	-0.108	1.35	0.426	0.316	-172.082	1.153181169635608e-15	15.53058679770618	12.03104579100911	-12.03104579100911
1069	73.5	74.55	0.06900000000000001	0.002	-0.24	-0.027	1.05	0.31	0.296	-174.542	8.626035994513022e-15	14.97003248546558	3.601685656206901	-3.601685656206901
1137	81	81.90000000000001	0.062	0.066	-0.329	-0.113	0.9	0.43	0.478	-155.394	8.852581028571429e-15	14.95905603759511	3.539167327649212	-3.539167327649212
1153	100.95	102	0.974	-0.277	0.614	-0.101	1.05	0.401	0.382	153.958	1.072011691623239e-15	15.54392903995124	12.52304856030151	-12.52304856030151
1153	106.05	107.4	-0.1	0.026	-0.454	0.1	1.35	0.361	0.268	168.33	1.072011691623239e-15	15.54392903995124	12.52304856030151	-12.52304856030151
1173	106.8	107.7	2.274	-0.617	0.61	-0.446	0.9	1.673	1.859	174.145	1.771551154964398e-15	15.44507305594542	9.471756449962832	-9.471756449962832
1173	144.45	145.35	-3.71	0.644	-4.709	1.054	0.9	1.08	1.2	157.691	1.771551154964398e-15	15.44507305594542	9.471756449962832	-9.471756449962832
