 	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Slice	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity	Length
61	23	61.688	21.876	51.116	47	119.667	1933.500	693	0	0	22	1923	693	22	0	0	0	0	0.597	22	1418.833	0	0	0	0	1418.833	1	1923	693	0	0	0	0	NaN	22
62	23	58.938	19.099	47.946	47.833	105.417	1679.500	906.500	0	0	22	1669	907	22	0	0	0	0	0.597	22	1355.583	0	0	0	0	1355.583	1	1669	907	0	0	0	0	NaN	22
63	23	58.645	18.450	49.537	48.364	115.129	1950.250	909	0	0	21.500	1940	909	22	0	0	0	0	0.625	21	1348.826	0	0	0	0	1348.826	1	1940	909	0	0	0	0	NaN	21.500
64	19	56.947	15.000	49.667	48.324	110.833	1990	899.250	0	0	18.007	1981	899	18	1	0	0	0	0.736	18.028	1082.000	0	0	0	0	1082.000	1	1981	899	176.820	0.057	0	0	NaN	18.007
65	27	54.100	11.134	48.416	47.269	100.667	2165.750	879.500	0	0	25.500	2153	880	26	0	0	0	0	0.522	26	1460.702	0	0	0	0	1460.702	1	2153	880	0	0	0	0	NaN	25.500
66	22	55.636	12.713	49.160	48	93.667	2145.500	983.500	0	0	21	2135	984	21	0	0	0	0	0.627	21	1224.000	0	0	0	0	1224.000	1	2135	984	0	0	0	0	NaN	21
67	19	60	12.233	57.624	53.333	109.667	2164.500	992	0	0	19	2155	992	19	0	0	0	0	0.661	19	1140	0	0	0	0	1140	1	2155	992	0	0	0	0	NaN	19
68	22	59.341	20.454	49.199	47.667	119	1897.500	1029.500	0	0	21	1887	1030	21	0	0	0	0	0.627	21	1305.500	0	0	0	0	1305.500	1	1887	1030	0	0	0	0	NaN	21
69	22	53.453	23.828	43.400	42.755	152.833	1595.250	1187.750	0	0	20.506	1585	1188	21	1	0	0	-2.862	0.657	21	1175.971	0	0	0	0	1175.971	1	1585	1188	0	0	0	0	NaN	20.506
70	22	54.307	12.966	45.082	45	87.083	1617	1244.500	0	0	21	1607	1245	21	0	0	0	0	0.627	21	1194.750	0	0	0	0	1194.750	1	1607	1245	0	0	0	0	NaN	21
71	22	55.386	19.544	45.313	44.619	115.667	1848.750	1202	0	0	20.500	1839	1202	21	0	0	0	0	0.658	20	1218.492	0	0	0	0	1218.492	1	1839	1202	0	0	0	0	NaN	20.500
72	6	91.111	44.344	58.228	58	174.667	2044.500	1210.500	0	0	5	2042	1211	5	0	0	0	0	1	5	546.667	0	0	0	0	546.667	1	2042	1211	0	0	0	0	NaN	5
73	12	71.681	33.558	50.715	50.500	160.667	2294.500	1160.500	0	0	11	2289	1161	11	0	0	0	0	1	11	860.167	0	0	0	0	860.167	1	2289	1161	0	0	0	0	NaN	11
74	24	57.730	13.300	50.608	48.935	94.014	2179.250	1214.500	0	0	22.500	2168	1215	23	0	0	0	0	0.596	23	1385.522	0	0	0	0	1385.522	1	2168	1215	0	0	0	0	NaN	22.500
75	22	57.202	13.179	52.130	50.314	105	2254.250	1243.250	0	0	20.506	2244	1243	21	1	0	0	0	0.657	21.024	1258.437	0	0	0	0	1258.437	1	2244	1243	177.274	0.083	0	0	NaN	20.506
